data,produto,municipio,tipo,peso,preco
18/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
19/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
20/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
23/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
24/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
25/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
26/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
27/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
30/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
31/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
01/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
02/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
06/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
07/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 70,00"
08/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 62,00"
09/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 62,00"
10/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 62,00"
13/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
14/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
15/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
16/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
17/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
22/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
23/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
24/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
27/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
28/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
29/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
07/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
08/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
09/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
10/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 138,00"
13/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 138,00"
14/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 138,00"
15/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 138,00"
16/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 138,00"
17/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 138,00"
22/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 138,00"
23/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
24/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
27/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
28/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
29/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 142,50"
30/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 60,00"
